FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
6,1149.7,17.93863,1.493226,4.399154,5.99962,98.53218059411984,0.3931763988999961,17.962500000000002,4.39,1.5225,6.0675,17.91875,41.5
6,1150.9,17.99449,1.740568,4.399066,6.99962,98.31151845667127,0.5288431153999937,18.0125,4.39,1.779375,7.09875,17.975,43.0
6,1152.4,18.05421,1.987345,4.399864,7.9996,98.09700951993048,0.6827919180500004,18.075,4.39,2.034375,8.145,18.0375,45.0
6,1152.3,18.10998,2.234537,4.399592,8.99947,97.84166088464676,0.8734241630199975,18.13125,4.39,2.2893749999999997,9.1425,18.09375,47.0
6,1153.3,18.16666,2.481691,4.399373,9.99997,97.58131994170982,1.090438603250007,18.181250000000002,4.39,2.54625,10.17,18.150000000000002,49.5
6,1154.4,18.22595,2.729015,4.399677,11.0,97.30101754602923,1.3424439392500105,18.243750000000002,4.39125,2.80125,11.20125,18.212500000000002,52.5
6,1157.0,18.28215,2.97608,4.399074,12.0,97.02209418664813,1.620252972000003,18.3,4.39,3.058125,12.1875,18.2625,56.0
6,1159.7,18.34147,3.222933,4.399052,13.0002,96.74392703659088,1.9247731211100003,18.35625,4.39,3.313125,13.2225,18.325,59.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
7,1265.8,17.66481,0.2588219,4.400514,0.999283,96.17936702604025,0.17468085587699989,17.6875,4.39125,0.24375,0.98625,17.64375,39.5
7,1265.9,17.71418,0.5058659,4.399251,1.99901,98.1380105541525,0.16685286695199864,17.73125,4.39,0.49874999999999997,1.99125,17.7,39.5
7,1265.7,17.76999,0.7532374,4.399563,2.99899,98.57470807613498,0.19077562425600014,17.7875,4.39,0.7575,3.0075,17.75,39.5
7,1266.8,17.82264,1.000507,4.399096,3.99939,98.66543377082091,0.2379755270399997,17.837500000000002,4.38875,1.0125,4.03875,17.8,40.0
7,1267.3,17.87839,1.247909,4.399391,4.99989,98.592002607702,0.3141327195199999,17.900000000000002,4.39,1.27125,5.0625,17.8625,41.0
7,1267.0,17.93513,1.494946,4.399858,5.99962,98.45377438192526,0.41457479902000216,17.95,4.39,1.5262499999999999,6.078749999999999,17.91875,42.0
7,1268.2,17.98732,1.7416,4.399183,6.99962,98.29504250362338,0.5341072015399995,18.0125,4.39,1.78125,7.09125,17.96875,43.5
7,1270.0,18.04354,1.988882,4.399404,7.9996,98.06891107774304,0.6929996838800037,18.0625,4.39,2.03625,8.11125,18.025000000000002,45.5
7,1270.9,18.09943,2.23596,4.399462,8.99947,97.83349678498973,0.8767752176600041,18.1125,4.39125,2.293125,9.13125,18.075,47.5
7,1271.7,18.15589,2.482783,4.399552,9.99997,97.60023118721894,1.0817470284300015,18.16875,4.39125,2.54625,10.155,18.1375,50.0
7,1273.8,18.21172,2.729831,4.399339,11.0001,97.34134351740525,1.32174888542,18.23125,4.39,2.806875,11.205,18.19375,53.0
7,1315.4,18.2681,2.977578,4.399065,12.0,97.04766663213856,1.605912661799998,18.2875,4.38875,3.0618749999999997,12.206249999999999,18.25625,56.0
7,651.8905,18.32741,3.224677,4.39936,13.0002,96.77255778197089,1.9074176245700016,18.34375,4.39,3.315,13.229999999999999,18.3125,60.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
8,1369.6,17.66477,0.2599585,4.40069,0.999146,95.74976592351126,0.1951753013049995,17.681250000000002,4.39125,0.24937499999999999,0.9824999999999999,17.64375,40.0
8,1368.1,17.71411,0.5070313,4.39966,1.99901,97.92193245978773,0.18664388504300078,17.7375,4.39,0.5025,1.99125,17.6875,40.0
8,1369.2,17.76639,0.7542504,4.399338,2.99899,98.45722863605978,0.2067360954359998,17.7875,4.39,0.759375,3.0149999999999997,17.75,40.0
8,1370.3,17.81907,1.001442,4.399115,3.99939,98.59348913982114,0.25098855908999695,17.837500000000002,4.38875,1.0125,4.00875,17.8,40.5
8,1372.4,17.87482,1.248575,4.399653,4.99989,98.56496291206345,0.32027234333000365,17.8875,4.39,1.27125,5.05125,17.85,41.5
8,1371.1,17.92804,1.495753,4.399499,5.99962,98.43153831831098,0.4205974237400021,17.95,4.39,1.5262499999999999,6.07125,17.90625,42.5
8,701.3705,17.98026,1.74277,4.39906,6.99962,98.26487499287587,0.5437093629999978,18.0,4.39,1.78125,7.0874999999999995,17.962500000000002,44.0
8,1374.3,18.03651,1.989803,4.399521,7.9996,98.06433295101323,0.6946935159300054,18.056250000000002,4.39125,2.04,8.1225,18.01875,46.0
