FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
6,810.1102,17.66126,0.2613612,4.400911,0.999283,95.27265883915466,0.2182125602989995,17.7,4.39625,0.234375,1.04625,17.66875,38.5
6,810.1758000000001,17.70353,0.5080978,4.399273,1.99915,97.77303778230423,0.20031802728400194,17.743750000000002,4.3950000000000005,0.481875,2.06625,17.70625,38.0
6,809.8259,17.75213,0.7546709,4.399213,2.99927,98.48780989247152,0.20258834950700155,17.79375,4.3950000000000005,0.7274999999999999,3.0825,17.75,38.5
6,810.3071,17.80126,1.001032,4.399257,3.99951,98.73870262797665,0.22475853624999687,17.84375,4.3950000000000005,0.973125,4.1025,17.806250000000002,39.0
6,810.767,17.85075,1.247853,4.399313,4.99989,98.74734248279097,0.27903086418000456,17.8875,4.39625,1.216875,5.11125,17.85625,40.0
6,811.5566,17.89943,1.494423,4.399132,5.99989,98.67281940244705,0.35501178341000283,17.9375,4.3950000000000005,1.464375,6.1425,17.90625,41.0
6,811.4907,17.94889,1.740824,4.399086,6.99974,98.54892689880025,0.45340024771999765,17.9875,4.39375,1.708125,7.15125,17.95625,42.5
6,812.2817,18.00122,1.987343,4.399626,7.99974,98.38227545649666,0.5787344612200016,18.04375,4.39625,1.951875,8.1525,18.00625,44.0
6,813.2065,18.05024,2.234079,4.399232,8.99959,98.17888219235807,0.7343778140800055,18.087500000000002,4.39625,2.20125,9.1725,18.056250000000002,46.0
6,814.4649000000001,18.10252,2.48043,4.399482,10.0002,97.98153065051255,0.9063337871999977,18.14375,4.39625,2.4431249999999998,10.1775,18.10625,48.5

